[2026-01-16T01:53:19.152Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: undefined
[2026-01-16T01:57:16.740Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:16.753Z] ACCESS: superadmin@ev.com | URL: /stats | TokenRole: super_admin
[2026-01-16T01:57:16.769Z] ACCESS: superadmin@ev.com | URL: /stats | TokenRole: super_admin
[2026-01-16T01:57:33.363Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:33.364Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T01:57:43.588Z] ACCESS: superadmin@ev.com | URL: /clinics/4 | TokenRole: super_admin
[2026-01-16T01:57:50.589Z] ACCESS: superadmin@ev.com | URL: /clinics/4/status | TokenRole: super_admin
[2026-01-16T01:57:56.318Z] ACCESS: superadmin@ev.com | URL: /clinics/4/status | TokenRole: super_admin
[2026-01-16T01:57:59.489Z] ACCESS: superadmin@ev.com | URL: /clinics/4 | TokenRole: super_admin
[2026-01-16T18:46:00.968Z] LOGIN: superadmin@ev.com | isSuperAdmin: true | Forced: true | Final: super_admin
[2026-01-16T18:46:01.087Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T18:46:01.101Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T18:46:01.143Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:01.190Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:01.212Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:46:01.232Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:46:01.328Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:46:01.412Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:46:12.682Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:12.698Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:15.938Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:15.951Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:23.580Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:23.599Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:46:49.279Z] ACCESS: superadmin@ev.com | URL: /clinics/2/admin | TokenRole: super_admin
[2026-01-16T18:47:27.878Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:47:27.903Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:47:28.030Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T18:47:28.031Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T18:55:30.458Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:55:30.479Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:57:25.700Z] LOGIN: reception@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:57:25.799Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:57:25.827Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:57:30.331Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:57:30.342Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:57:33.258Z] LOGIN: doctor@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:57:33.302Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:57:33.315Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:08.507Z] LOGIN: superadmin@ev.com | isSuperAdmin: true | Forced: true | Final: super_admin
[2026-01-16T18:58:08.603Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T18:58:08.621Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T18:58:08.649Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:08.697Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:08.797Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:58:08.798Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:58:08.818Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:58:08.863Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:58:11.458Z] LOGIN: superadmin@ev.com | isSuperAdmin: true | Forced: true | Final: super_admin
[2026-01-16T18:58:11.514Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: super_admin
[2026-01-16T18:58:11.537Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:11.553Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:11.572Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: super_admin
[2026-01-16T18:58:11.648Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:58:11.649Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:58:11.659Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: super_admin
[2026-01-16T18:58:11.673Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: super_admin
[2026-01-16T18:58:19.061Z] LOGIN: admin@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:19.125Z] ACCESS: admin@husri.com | URL: /select-clinic | TokenRole: undefined
[2026-01-16T18:58:19.160Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: clinic_admin
[2026-01-16T18:58:19.302Z] ACCESS: admin@husri.com | URL: /staff | TokenRole: clinic_admin
[2026-01-16T18:58:19.303Z] ACCESS: admin@husri.com | URL: / | TokenRole: clinic_admin
[2026-01-16T18:58:19.369Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: clinic_admin
[2026-01-16T18:58:19.370Z] ACCESS: admin@husri.com | URL: /patients | TokenRole: clinic_admin
[2026-01-16T18:58:19.372Z] ACCESS: admin@husri.com | URL: /appointments | TokenRole: clinic_admin
[2026-01-16T18:58:19.382Z] ACCESS: admin@husri.com | URL: /templates | TokenRole: clinic_admin
[2026-01-16T18:58:19.515Z] ACCESS: admin@husri.com | URL: /invoices | TokenRole: clinic_admin
[2026-01-16T18:58:19.519Z] ACCESS: admin@husri.com | URL: /notifications | TokenRole: clinic_admin
[2026-01-16T18:58:19.584Z] ACCESS: admin@husri.com | URL: /stats | TokenRole: clinic_admin
[2026-01-16T18:58:19.588Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: clinic_admin
[2026-01-16T18:58:19.640Z] ACCESS: admin@husri.com | URL: /stats | TokenRole: clinic_admin
[2026-01-16T18:58:21.525Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:21.535Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: super_admin
[2026-01-16T18:58:23.851Z] LOGIN: admin@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:23.910Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:23.929Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:29.309Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:29.319Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:31.947Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: clinic_admin
[2026-01-16T18:58:31.964Z] ACCESS: admin@husri.com | URL: /clinics/my | TokenRole: clinic_admin
[2026-01-16T18:58:36.567Z] LOGIN: doctor@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:36.609Z] ACCESS: doctor@husri.com | URL: /select-clinic | TokenRole: undefined
[2026-01-16T18:58:36.638Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: doctor
[2026-01-16T18:58:36.803Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: doctor
[2026-01-16T18:58:36.875Z] ACCESS: doctor@husri.com | URL: /staff | TokenRole: doctor
[2026-01-16T18:58:36.904Z] ACCESS: doctor@husri.com | URL: / | TokenRole: doctor
[2026-01-16T18:58:36.905Z] ACCESS: doctor@husri.com | URL: /stats | TokenRole: doctor
[2026-01-16T18:58:36.907Z] ACCESS: doctor@husri.com | URL: /invoices | TokenRole: doctor
[2026-01-16T18:58:36.963Z] ACCESS: doctor@husri.com | URL: /patients | TokenRole: doctor
[2026-01-16T18:58:37.012Z] ACCESS: doctor@husri.com | URL: /activities | TokenRole: doctor
[2026-01-16T18:58:37.033Z] ACCESS: doctor@husri.com | URL: /appointments | TokenRole: doctor
[2026-01-16T18:58:37.041Z] ACCESS: doctor@husri.com | URL: /templates | TokenRole: doctor
[2026-01-16T18:58:37.057Z] ACCESS: doctor@husri.com | URL: /notifications | TokenRole: doctor
[2026-01-16T18:58:37.065Z] ACCESS: doctor@husri.com | URL: /stats | TokenRole: doctor
[2026-01-16T18:58:37.095Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: doctor
[2026-01-16T18:58:37.277Z] ACCESS: doctor@husri.com | URL: /activities | TokenRole: doctor
[2026-01-16T18:58:39.932Z] LOGIN: doctor@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:40.003Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:40.019Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:43.002Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: doctor
[2026-01-16T18:58:43.029Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: doctor
[2026-01-16T18:58:45.492Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:45.505Z] ACCESS: doctor@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:49.675Z] LOGIN: reception@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:49.692Z] ACCESS: reception@husri.com | URL: /select-clinic | TokenRole: undefined
[2026-01-16T18:58:49.751Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: admission
[2026-01-16T18:58:50.031Z] ACCESS: reception@husri.com | URL: /staff | TokenRole: admission
[2026-01-16T18:58:50.034Z] ACCESS: reception@husri.com | URL: / | TokenRole: admission
[2026-01-16T18:58:50.049Z] ACCESS: reception@husri.com | URL: /patients | TokenRole: admission
[2026-01-16T18:58:50.064Z] ACCESS: reception@husri.com | URL: /appointments | TokenRole: admission
[2026-01-16T18:58:50.083Z] ACCESS: reception@husri.com | URL: /templates | TokenRole: admission
[2026-01-16T18:58:50.088Z] ACCESS: reception@husri.com | URL: /notifications | TokenRole: admission
[2026-01-16T18:58:50.111Z] ACCESS: reception@husri.com | URL: /invoices | TokenRole: admission
[2026-01-16T18:58:50.266Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: admission
[2026-01-16T18:58:50.276Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: admission
[2026-01-16T18:58:50.371Z] ACCESS: reception@husri.com | URL: /stats | TokenRole: admission
[2026-01-16T18:58:50.373Z] ACCESS: reception@husri.com | URL: /activities | TokenRole: admission
[2026-01-16T18:58:50.397Z] ACCESS: reception@husri.com | URL: /stats | TokenRole: admission
[2026-01-16T18:58:50.415Z] ACCESS: reception@husri.com | URL: /activities | TokenRole: admission
[2026-01-16T18:58:52.239Z] LOGIN: reception@husri.com | isSuperAdmin: false | Forced: false | Final: none
[2026-01-16T18:58:52.289Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:52.302Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:58.109Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:58:58.118Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: undefined
[2026-01-16T18:59:00.987Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: admission
[2026-01-16T18:59:01.083Z] ACCESS: reception@husri.com | URL: /clinics/my | TokenRole: admission
[2026-01-16T19:09:20.289Z] LOGIN: superadmin@ev.com | role: SUPER_ADMIN
[2026-01-16T19:09:20.349Z] ACCESS: superadmin@ev.com | URL: /select-clinic | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:20.351Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:20.378Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:20.766Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:20.898Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:21.121Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:26.115Z] LOGIN: superadmin@ev.com | role: SUPER_ADMIN
[2026-01-16T19:09:26.314Z] ACCESS: superadmin@ev.com | URL: /select-clinic | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:26.496Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:26.560Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:26.935Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:27.145Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:09:27.483Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.306Z] LOGIN: superadmin@ev.com | role: SUPER_ADMIN
[2026-01-16T19:10:12.572Z] ACCESS: superadmin@ev.com | URL: /staff | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.602Z] ACCESS: superadmin@ev.com | URL: / | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.611Z] ACCESS: superadmin@ev.com | URL: /templates | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.733Z] ACCESS: superadmin@ev.com | URL: /patients | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.769Z] ACCESS: superadmin@ev.com | URL: /appointments | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.836Z] ACCESS: superadmin@ev.com | URL: /invoices | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.848Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.856Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.886Z] ACCESS: superadmin@ev.com | URL: /notifications | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:12.907Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:13.007Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:13.037Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:13.045Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:21.957Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:10:21.980Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:16.858Z] LOGIN: superadmin@ev.com | role: SUPER_ADMIN
[2026-01-16T19:11:17.194Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:17.227Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:17.309Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:17.317Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:17.344Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:11:17.352Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:05.940Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:05.956Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:06.028Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:06.042Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:06.051Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:12:06.065Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.036Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.044Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.051Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.188Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.203Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:20.254Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.090Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.163Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.253Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.295Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.350Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:14:39.374Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.107Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.144Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.146Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.214Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.232Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.246Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.975Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:23.992Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:28.478Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:28.508Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:42.295Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:42.316Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:44.821Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:44.839Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:45.162Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:45.164Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:45.177Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:45.217Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:48.094Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:16:48.129Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:22.475Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:25.896Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:25.919Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:26.211Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:26.216Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:26.249Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:26.275Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:27.923Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:28.018Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:42.093Z] ACCESS: superadmin@ev.com | URL: /clinics/3 | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:48.321Z] ACCESS: superadmin@ev.com | URL: /clinics/3 | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:49.656Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:49.678Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:50.073Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:50.101Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:50.114Z] ACCESS: superadmin@ev.com | URL: /alerts | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:50.130Z] ACCESS: superadmin@ev.com | URL: /dashboard/stats | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:51.649Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:17:51.667Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:18:13.515Z] ACCESS: superadmin@ev.com | URL: /clinics | TokenRole: SUPER_ADMIN
[2026-01-16T19:19:49.714Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:19:49.740Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:19:50.024Z] ACCESS: superadmin@ev.com | URL: /audit-logs? | TokenRole: SUPER_ADMIN
[2026-01-16T19:19:50.090Z] ACCESS: superadmin@ev.com | URL: /audit-logs? | TokenRole: SUPER_ADMIN
[2026-01-16T19:20:17.754Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:20:17.829Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:20:40.412Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
[2026-01-16T19:20:40.423Z] ACCESS: superadmin@ev.com | URL: /clinics/my | TokenRole: SUPER_ADMIN
